id,name,shape,fill,refs
钻石,钻石,ellipse,#b85450,"升级水晶,挑战赛下注,公会捐献,巨龙之岛买苹果,购买封印扫荡次数,卡牌包扩容,退款后扣除,购买封印战斗次数,地牢买商人,天马升级任务,点金手,公会改名,换名字,新的黑市商店购买,酒馆加速任务,英雄委托活动赠,地牢刷新职业,高级抽卡,天马买耐久,买活动副本,远征复活,顺序兑换活动活动赠,巨龙之岛刷新boss,battle pass买积分,买爬塔体力,刷新转盘,虚空购买石头,买转盘硬币,购买公会boss复活,升级许愿树,创建公会,升级公会订单,重置公会科技,买竞技场门票,酒馆刷新,天马奇遇"
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,"卡牌升级石头,公会币,卡牌,骰子 dice,固定英雄卡牌碎片,神圣纹章(辉煌商店货币),混沌石， 符文商店用,随机英雄碎片,先知宝珠，先知门,装备,恶魔之魂， 升级符文用,随机皮肤碎片,时光之沙,抽卡卷轴,高级许愿币,金币,指定皮肤碎片(指定的skin id),paddle2"
升级公会订单,升级公会订单,rectangle,#82b366,
卡牌包扩容,卡牌包扩容,rectangle,#82b366,
买竞技场门票,买竞技场门票,rectangle,#82b366,竞技场门票
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,竞技场门票,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,许愿币,抽卡卷轴,高级许愿币,先知祝福，英雄置换,时光之沙"
battle pass买积分,battle pass买积分,rectangle,#82b366,
购买封印战斗次数,购买封印战斗次数,rectangle,#82b366,封印之地战斗次数
买转盘硬币,买转盘硬币,rectangle,#82b366,许愿币
公会捐献,公会捐献,rectangle,#82b366,公会币
点金手,点金手,rectangle,#82b366,金币
巨龙之岛刷新boss,巨龙之岛刷新boss,rectangle,#82b366,
地牢买商人,地牢买商人,rectangle,#82b366,"卡牌升级石头,竞技场门票,随机英雄碎片,先知宝珠，先知门,许愿币,抽卡卷轴,卡牌进阶石头"
远征复活,远征复活,rectangle,#82b366,
买爬塔体力,买爬塔体力,rectangle,#82b366,环境之塔的体力
巨龙之岛买苹果,巨龙之岛买苹果,rectangle,#82b366,极乐之境金苹果
重置公会科技,重置公会科技,rectangle,#82b366,"金币,公会币"
地牢刷新职业,地牢刷新职业,rectangle,#82b366,
天马买耐久,天马买耐久,rectangle,#82b366,
购买封印扫荡次数,购买封印扫荡次数,rectangle,#82b366,封印之地扫荡次数
天马升级任务,天马升级任务,rectangle,#82b366,
退款后扣除,退款后扣除,rectangle,#82b366,
高级抽卡,高级抽卡,rectangle,#82b366,卡牌
酒馆刷新,酒馆刷新,rectangle,#82b366,
英雄委托活动赠,英雄委托活动赠,rectangle,#82b366,"装备,固定英雄卡牌碎片"
公会改名,公会改名,rectangle,#82b366,
酒馆加速任务,酒馆加速任务,rectangle,#82b366,
购买公会boss复活,购买公会boss复活,rectangle,#82b366,
挑战赛下注,挑战赛下注,rectangle,#82b366,钻石
刷新转盘,刷新转盘,rectangle,#82b366,
升级水晶,升级水晶,rectangle,#82b366,卡牌水晶，本身不会通过资源类添加，纯粹为了log
天马奇遇,天马奇遇,rectangle,#82b366,
升级许愿树,升级许愿树,rectangle,#82b366,公会币
买活动副本,买活动副本,rectangle,#82b366,
换名字,换名字,rectangle,#82b366,
虚空购买石头,虚空购买石头,rectangle,#82b366,虚空石
创建公会,创建公会,rectangle,#82b366,
灵魂石,灵魂石,ellipse,#b85450,"顺序兑换活动活动赠,英雄分解商店购买"
英雄分解商店购买,英雄分解商店购买,rectangle,#82b366,固定英雄卡牌碎片
lemon_tea,lemon_tea,ellipse,#b85450,"顺序兑换活动活动赠,卖道具"
卖道具,卖道具,rectangle,#82b366,金币
stopwatch,stopwatch,ellipse,#b85450,顺序兑换活动活动赠
horse searach stamina,horse searach stamina,ellipse,#b85450,天马探索
天马探索,天马探索,rectangle,#82b366,
金币,金币,ellipse,#b85450,"装备附魔,升级水晶,解锁升级公会科技,装备合成,公会捐献,卡牌升级,巨龙之岛升级建筑,新的黑市商店购买,卡牌升阶,英雄委托活动赠,升级许愿树,退款后扣除,转换水晶,地牢买商人,符文升级"
解锁升级公会科技,解锁升级公会科技,rectangle,#82b366,
转换水晶,转换水晶,rectangle,#82b366,卡牌水晶，本身不会通过资源类添加，纯粹为了log
符文升级,符文升级,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,RUNE,高级置换材料 荷鲁斯之眼,混沌石， 符文商店用,随机英雄碎片,先知宝珠，先知门,恶魔之魂， 升级符文用,时光之沙,钻石,抽卡卷轴,金币,装备附魔书"
装备附魔,装备附魔,rectangle,#82b366,装备
装备合成,装备合成,rectangle,#82b366,装备
巨龙之岛升级建筑,巨龙之岛升级建筑,rectangle,#82b366,
卡牌升级,卡牌升级,rectangle,#82b366,
卡牌升阶,卡牌升阶,rectangle,#82b366,
公会币,公会币,ellipse,#b85450,"工会商店购买,工会商店刷新,解锁升级公会科技"
工会商店刷新,工会商店刷新,rectangle,#82b366,
工会商店购买,工会商店购买,rectangle,#82b366,"神器碎片,随机英雄碎片,装备,固定英雄卡牌碎片"
装备,装备,ellipse,#b85450,"装备附魔,神器升级,装备合成,卖道具"
神器升级,神器升级,rectangle,#82b366,装备
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,"捐出卡牌碎片,卡牌碎片合成,退款后扣除,卖道具"
卡牌碎片合成,卡牌碎片合成,rectangle,#82b366,卡牌
捐出卡牌碎片,捐出卡牌碎片,rectangle,#82b366,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,"捐出卡牌碎片,卡牌碎片合成"
卡牌水晶，本身不会通过资源类添加，纯粹为了log,卡牌水晶，本身不会通过资源类添加，纯粹为了log,ellipse,#b85450,转换水晶
时光之沙,时光之沙,ellipse,#b85450,"转换水晶,升级水晶"
LOSTCITY_COIN,LOSTCITY_COIN,ellipse,#b85450,地牢买药水
地牢买药水,地牢买药水,rectangle,#82b366,LOSTCITY_RECOVERY
卡牌,卡牌,ellipse,#b85450,"高星置换-8星,卡牌觉醒,先知置换-暗夜,高星置换-7星,卡牌赋能,先知置换-人类,英雄委托活动赠,卡牌分解,先知置换-天灾,先知置换-恶魔,卡牌合成"
先知置换-人类,先知置换-人类,rectangle,#82b366,卡牌
高星置换-7星,高星置换-7星,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
卡牌分解,卡牌分解,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,时光之沙,灵魂石,金币"
先知置换-天灾,先知置换-天灾,rectangle,#82b366,卡牌
卡牌赋能,卡牌赋能,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
高星置换-8星,高星置换-8星,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
卡牌觉醒,卡牌觉醒,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
先知置换-暗夜,先知置换-暗夜,rectangle,#82b366,卡牌
先知置换-恶魔,先知置换-恶魔,rectangle,#82b366,卡牌
卡牌合成,卡牌合成,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,"先知置换-暗夜,先知置换-天灾,先知置换-人类,先知置换-恶魔"
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,"符文解锁,符文升级"
符文解锁,符文解锁,rectangle,#82b366,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,"xx商店购买,符文升级"
xx商店购买,xx商店购买,rectangle,#82b366,RUNE
RUNE,RUNE,ellipse,#b85450,"符文分解,符文升级"
符文分解,符文分解,rectangle,#82b366,混沌石， 符文商店用
爱心,爱心,ellipse,#b85450,爱心抽卡
爱心抽卡,爱心抽卡,rectangle,#82b366,卡牌
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,"先知召唤-恶魔,先知召唤-暗夜,先知召唤-人类,退款后扣除,先知召唤-天灾,先知召唤-光暗"
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知召唤-人类,先知召唤-人类,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
抽卡卷轴,抽卡卷轴,ellipse,#b85450,"高级抽卡,低级抽卡,退款后扣除"
低级抽卡,低级抽卡,rectangle,#82b366,卡牌
高级置换材料 荷鲁斯之眼,高级置换材料 荷鲁斯之眼,ellipse,#b85450,"高星置换-8星,高星置换-7星"
封印之地扫荡次数,封印之地扫荡次数,ellipse,#b85450,封印扫荡
封印扫荡,封印扫荡,rectangle,#82b366,"封印之地四色结晶,封印之地光暗结晶,随机英雄碎片"
装备附魔书,装备附魔书,ellipse,#b85450,装备附魔
虚空石,虚空石,ellipse,#b85450,"虚空普通战斗奖励,卖道具"
虚空普通战斗奖励,虚空普通战斗奖励,rectangle,#82b366,"卡牌升级石头,混沌石， 符文商店用,恶魔之魂， 升级符文用,时光之沙,金币"
paddle2,paddle2,ellipse,#b85450,"卖道具,藏宝图2活动赠"
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,"神器碎片,卡牌,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,装备,许愿币,抽卡卷轴,指定皮肤碎片(指定的skin id)"
封印之地战斗次数,封印之地战斗次数,ellipse,#b85450,封印战斗
封印战斗,封印战斗,rectangle,#82b366,"封印之地四色结晶,封印之地光暗结晶,封印之地扫荡次数,随机英雄碎片"
骰子 dice,骰子 dice,ellipse,#b85450,"旅行大富翁活动赠,卖道具,回收旅行骰子"
回收旅行骰子,回收旅行骰子,rectangle,#82b366,钻石
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,进背包的宝箱,固定英雄卡牌碎片,神圣纹章(辉煌商店货币),混沌石， 符文商店用,随机英雄碎片,先知宝珠，先知门,装备,恶魔之魂， 升级符文用,许愿币,时光之沙,钻石,抽卡卷轴,金币,指定皮肤碎片(指定的skin id)"
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,神圣商店购买
神圣商店购买,神圣商店购买,rectangle,#82b366,固定英雄卡牌碎片
许愿币,许愿币,ellipse,#b85450,"退款后扣除,使用转盘"
使用转盘,使用转盘,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,固定英雄卡牌碎片,随机英雄碎片,转盘商场幸运币,装备,时光之沙,金币"
高级许愿币,高级许愿币,ellipse,#b85450,"使用高级转盘,退款后扣除"
使用高级转盘,使用高级转盘,rectangle,#82b366,"神器碎片,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,恶魔之魂， 升级符文用,抽卡卷轴,金币"
封印之地四色结晶,封印之地四色结晶,ellipse,#b85450,封印之地商店购买
封印之地商店购买,封印之地商店购买,rectangle,#82b366,随机英雄碎片
封印之地光暗结晶,封印之地光暗结晶,ellipse,#b85450,封印之地商店购买
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,"卡牌觉醒,卡牌赋能,卡牌升阶"
转盘商场幸运币,转盘商场幸运币,ellipse,#b85450,"转盘商店刷新,转盘商店购买"
转盘商店购买,转盘商店购买,rectangle,#82b366,"装备,固定英雄卡牌碎片"
转盘商店刷新,转盘商店刷新,rectangle,#82b366,
好友boss体力，新的3,好友boss体力，新的3,ellipse,#b85450,"FRIEND_MAZE_FIGHT,FRIEND_MAZE_SEARCH"
FRIEND_MAZE_FIGHT,FRIEND_MAZE_FIGHT,rectangle,#82b366,"钻石,神器碎片,装备"
FRIEND_MAZE_SEARCH,FRIEND_MAZE_SEARCH,rectangle,#82b366,"金币,随机英雄碎片,卡牌升级石头,好友boss体力，新的3"
神器碎片,神器碎片,ellipse,#b85450,神器合成
神器合成,神器合成,rectangle,#82b366,装备
环境之塔的体力,环境之塔的体力,ellipse,#b85450,爬塔战斗
爬塔战斗,爬塔战斗,rectangle,#82b366,"卡牌进阶石头,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,装备,高级许愿币,金币"
酒馆卷轴,酒馆卷轴,ellipse,#b85450,酒馆增加任务
酒馆增加任务,酒馆增加任务,rectangle,#82b366,
极乐之境金羽毛,极乐之境金羽毛,ellipse,#b85450,巨龙之岛升级建筑
龙纹币,龙纹币,ellipse,#b85450,巨龙之岛升级建筑
竞技场商场幸运币,竞技场商场幸运币,ellipse,#b85450,竞技场商店购买
竞技场商店购买,竞技场商店购买,rectangle,#82b366,"随机英雄碎片,先知宝珠，先知门,先知祝福，英雄置换"
竞技场门票,竞技场门票,ellipse,#b85450,使用竞技场门票
使用竞技场门票,使用竞技场门票,rectangle,#82b366,
皮肤,皮肤,ellipse,#b85450,皮肤分解
