id,name,shape,fill,refs
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
极乐之境金羽毛,极乐之境金羽毛,ellipse,#b85450,
龙岛,龙岛,rhombus,#dae8fc,天马完成任务
神器碎片,神器碎片,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
酒馆卷轴,酒馆卷轴,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
龙纹币,龙纹币,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
天马完成任务,天马完成任务,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,神器碎片,极乐之境金羽毛,卡牌,龙纹币,混沌石， 符文商店用,随机英雄碎片,先知宝珠，先知门,恶魔之魂， 升级符文用,时光之沙,钻石,抽卡卷轴,高级许愿币,HORSE_EXP,酒馆卷轴,金币"
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
HORSE_EXP,HORSE_EXP,ellipse,#b85450,
金币,金币,ellipse,#b85450,
卡牌,卡牌,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
