id,name,shape,fill,refs
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
竞技场门票,竞技场门票,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,竞技场门票,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,许愿币,抽卡卷轴,高级许愿币,先知祝福，英雄置换,时光之沙"
许愿币,许愿币,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,新的黑市商店购买
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
基础商店,基础商店,rhombus,#dae8fc,新的黑市商店购买
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,
金币,金币,ellipse,#b85450,新的黑市商店购买
