id,name,shape,fill,refs
酒馆获得,酒馆获得,rectangle,#82b366,先知宝珠，先知门
虚空排行奖励,虚空排行奖励,rectangle,#82b366,先知宝珠，先知门
退款后扣除,退款后扣除,rectangle,#82b366,
地牢买商人,地牢买商人,rectangle,#82b366,先知宝珠，先知门
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,
符文升级,符文升级,rectangle,#82b366,先知宝珠，先知门
vip礼包,vip礼包,rectangle,#82b366,先知宝珠，先知门
先知召唤-人类,先知召唤-人类,rectangle,#82b366,
等级限时礼包,等级限时礼包,rectangle,#82b366,先知宝珠，先知门
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,先知宝珠，先知门
使用高级转盘,使用高级转盘,rectangle,#82b366,先知宝珠，先知门
水晶抽次数活动赠,水晶抽次数活动赠,rectangle,#82b366,先知宝珠，先知门
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,先知宝珠，先知门
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,先知宝珠，先知门
登陆有奖(活动期间登录拿东西)活动赠,登陆有奖(活动期间登录拿东西)活动赠,rectangle,#82b366,先知宝珠，先知门
竞技场商店购买,竞技场商店购买,rectangle,#82b366,先知宝珠，先知门
瓦尔哈拉之邀活动赠,瓦尔哈拉之邀活动赠,rectangle,#82b366,先知宝珠，先知门
转盘次数活动赠,转盘次数活动赠,rectangle,#82b366,先知宝珠，先知门
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,"先知召唤-恶魔,先知召唤-暗夜,先知召唤-人类,退款后扣除,先知召唤-天灾,先知召唤-光暗"
天马完成任务,天马完成任务,rectangle,#82b366,先知宝珠，先知门
节日礼包,节日礼包,rectangle,#82b366,先知宝珠，先知门
酒馆活动活动赠,酒馆活动活动赠,rectangle,#82b366,先知宝珠，先知门
爬塔战斗,爬塔战斗,rectangle,#82b366,先知宝珠，先知门
开宝箱,开宝箱,rectangle,#82b366,先知宝珠，先知门
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,
训练营领奖,训练营领奖,rectangle,#82b366,先知宝珠，先知门
在线奖励,在线奖励,rectangle,#82b366,先知宝珠，先知门
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,
竞技场获胜活动赠,竞技场获胜活动赠,rectangle,#82b366,先知宝珠，先知门
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,先知宝珠，先知门
特惠礼包,特惠礼包,rectangle,#82b366,先知宝珠，先知门
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,先知宝珠，先知门
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,
