id,name,shape,fill,refs
先知置换-暗夜,先知置换-暗夜,rectangle,#82b366,
酒馆获得,酒馆获得,rectangle,#82b366,先知祝福，英雄置换
先知置换-人类,先知置换-人类,rectangle,#82b366,
竞技场商店购买,竞技场商店购买,rectangle,#82b366,先知祝福，英雄置换
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,先知祝福，英雄置换
训练营领奖,训练营领奖,rectangle,#82b366,先知祝福，英雄置换
先知召唤-人类,先知召唤-人类,rectangle,#82b366,先知祝福，英雄置换
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,先知祝福，英雄置换
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,先知祝福，英雄置换
先知置换-天灾,先知置换-天灾,rectangle,#82b366,
成就领奖,成就领奖,rectangle,#82b366,先知祝福，英雄置换
先知置换-恶魔,先知置换-恶魔,rectangle,#82b366,
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,"先知置换-暗夜,先知置换-天灾,先知置换-人类,先知置换-恶魔"
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,先知祝福，英雄置换
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,先知祝福，英雄置换
