id,name,shape,fill,refs
工会商店刷新,工会商店刷新,rectangle,#82b366,
解锁升级公会科技,解锁升级公会科技,rectangle,#82b366,
公会boss战斗,公会boss战斗,rectangle,#82b366,公会币
vip礼包,vip礼包,rectangle,#82b366,公会币
公会币,公会币,ellipse,#b85450,"工会商店购买,工会商店刷新,解锁升级公会科技"
公会捐献,公会捐献,rectangle,#82b366,公会币
公会boss排名奖励,公会boss排名奖励,rectangle,#82b366,公会币
公会签到,公会签到,rectangle,#82b366,公会币
公会礼包打开,公会礼包打开,rectangle,#82b366,公会币
工会商店购买,工会商店购买,rectangle,#82b366,
公会挖矿,公会挖矿,rectangle,#82b366,公会币
工会战普通排名,工会战普通排名,rectangle,#82b366,公会币
升级许愿树,升级许愿树,rectangle,#82b366,公会币
公会boss击杀奖励,公会boss击杀奖励,rectangle,#82b366,公会币
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,公会币
重置公会科技,重置公会科技,rectangle,#82b366,公会币
捐出卡牌碎片获得奖励,捐出卡牌碎片获得奖励,rectangle,#82b366,公会币
