id,name,shape,fill,refs
卡牌觉醒,卡牌觉醒,rectangle,#82b366,卡牌
卡牌分解,卡牌分解,rectangle,#82b366,
先知置换-暗夜,先知置换-暗夜,rectangle,#82b366,卡牌
爱心抽卡,爱心抽卡,rectangle,#82b366,卡牌
英雄委托活动赠,英雄委托活动赠,rectangle,#82b366,
高级抽卡,高级抽卡,rectangle,#82b366,卡牌
卡牌合成,卡牌合成,rectangle,#82b366,卡牌
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,卡牌
高星置换-8星,高星置换-8星,rectangle,#82b366,卡牌
高星置换-7星,高星置换-7星,rectangle,#82b366,卡牌
先知置换-人类,先知置换-人类,rectangle,#82b366,卡牌
天马完成任务,天马完成任务,rectangle,#82b366,卡牌
先知置换-天灾,先知置换-天灾,rectangle,#82b366,卡牌
能量抽卡,能量抽卡,rectangle,#82b366,卡牌
先知置换-恶魔,先知置换-恶魔,rectangle,#82b366,卡牌
卡牌赋能,卡牌赋能,rectangle,#82b366,卡牌
开宝箱,开宝箱,rectangle,#82b366,卡牌
卡牌,卡牌,ellipse,#b85450,"高星置换-8星,卡牌觉醒,先知置换-暗夜,高星置换-7星,卡牌赋能,先知置换-人类,英雄委托活动赠,卡牌分解,先知置换-天灾,先知置换-恶魔,卡牌合成"
卡牌碎片合成,卡牌碎片合成,rectangle,#82b366,卡牌
低级抽卡,低级抽卡,rectangle,#82b366,卡牌
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,卡牌
