id,name,shape,fill,refs
工会,工会,rectangle,#82b366,卡牌升级石头
活跃活动,活跃活动,rectangle,#82b366,卡牌升级石头
地牢,地牢,rectangle,#82b366,卡牌升级石头
英雄系统,英雄系统,rectangle,#82b366,卡牌升级石头
新手养成,新手养成,rectangle,#82b366,卡牌升级石头
好友,好友,rectangle,#82b366,卡牌升级石头
基础商店,基础商店,rectangle,#82b366,卡牌升级石头
征战大厅,征战大厅,rectangle,#82b366,卡牌升级石头
分解功能,分解功能,rectangle,#82b366,卡牌升级石头
卡牌升级石头,卡牌升级石头,ellipse,#b85450,英雄系统
副本系统,副本系统,rectangle,#82b366,卡牌升级石头
先知之树,先知之树,rectangle,#82b366,卡牌升级石头
竞技场,竞技场,rectangle,#82b366,卡牌升级石头
转盘,转盘,rectangle,#82b366,卡牌升级石头
龙岛,龙岛,rectangle,#82b366,卡牌升级石头
