id,name,shape,fill,refs
卡牌觉醒,卡牌觉醒,rectangle,#82b366,卡牌进阶石头
扫荡,扫荡,rectangle,#82b366,卡牌进阶石头
使用转盘,使用转盘,rectangle,#82b366,卡牌进阶石头
卡牌分解,卡牌分解,rectangle,#82b366,卡牌进阶石头
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,"卡牌觉醒,卡牌赋能,卡牌升阶"
地牢买商人,地牢买商人,rectangle,#82b366,卡牌进阶石头
符文升级,符文升级,rectangle,#82b366,卡牌进阶石头
vip礼包,vip礼包,rectangle,#82b366,卡牌进阶石头
关卡限时礼包,关卡限时礼包,rectangle,#82b366,卡牌进阶石头
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,卡牌进阶石头
竞技场3选1,竞技场3选1,rectangle,#82b366,卡牌进阶石头
卡牌升阶,卡牌升阶,rectangle,#82b366,
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,卡牌进阶石头
卡牌合成,卡牌合成,rectangle,#82b366,卡牌进阶石头
高星置换-8星,高星置换-8星,rectangle,#82b366,卡牌进阶石头
高星置换-7星,高星置换-7星,rectangle,#82b366,卡牌进阶石头
活动副本战斗,活动副本战斗,rectangle,#82b366,卡牌进阶石头
天马完成任务,天马完成任务,rectangle,#82b366,卡牌进阶石头
公会挖矿,公会挖矿,rectangle,#82b366,卡牌进阶石头
挂机,挂机,rectangle,#82b366,卡牌进阶石头
成就领奖,成就领奖,rectangle,#82b366,卡牌进阶石头
爬塔战斗,爬塔战斗,rectangle,#82b366,卡牌进阶石头
卡牌赋能,卡牌赋能,rectangle,#82b366,卡牌进阶石头
特惠礼包,特惠礼包,rectangle,#82b366,卡牌进阶石头
