id,name,shape,fill,refs
神圣商店购买,神圣商店购买,rectangle,#82b366,固定英雄卡牌碎片
使用转盘,使用转盘,rectangle,#82b366,固定英雄卡牌碎片
退款后扣除,退款后扣除,rectangle,#82b366,
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,固定英雄卡牌碎片
英雄分解商店购买,英雄分解商店购买,rectangle,#82b366,固定英雄卡牌碎片
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,固定英雄卡牌碎片
pve过关,pve过关,rectangle,#82b366,固定英雄卡牌碎片
vip礼包,vip礼包,rectangle,#82b366,固定英雄卡牌碎片
先知召唤-人类,先知召唤-人类,rectangle,#82b366,固定英雄卡牌碎片
捐出卡牌碎片,捐出卡牌碎片,rectangle,#82b366,
获得捐出的卡牌碎片,获得捐出的卡牌碎片,rectangle,#82b366,固定英雄卡牌碎片
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,固定英雄卡牌碎片
转盘商店购买,转盘商店购买,rectangle,#82b366,固定英雄卡牌碎片
使用高级转盘,使用高级转盘,rectangle,#82b366,固定英雄卡牌碎片
水晶抽次数活动赠,水晶抽次数活动赠,rectangle,#82b366,固定英雄卡牌碎片
英雄委托活动赠,英雄委托活动赠,rectangle,#82b366,固定英雄卡牌碎片
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,固定英雄卡牌碎片
卖道具,卖道具,rectangle,#82b366,
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,固定英雄卡牌碎片
瓦尔哈拉之邀活动赠,瓦尔哈拉之邀活动赠,rectangle,#82b366,固定英雄卡牌碎片
转盘次数活动赠,转盘次数活动赠,rectangle,#82b366,固定英雄卡牌碎片
首冲送礼包,首冲送礼包,rectangle,#82b366,固定英雄卡牌碎片
远征商店购买,远征商店购买,rectangle,#82b366,固定英雄卡牌碎片
成就领奖,成就领奖,rectangle,#82b366,固定英雄卡牌碎片
爬塔战斗,爬塔战斗,rectangle,#82b366,固定英雄卡牌碎片
签到,签到,rectangle,#82b366,固定英雄卡牌碎片
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,固定英雄卡牌碎片
训练营领奖,训练营领奖,rectangle,#82b366,固定英雄卡牌碎片
在线奖励,在线奖励,rectangle,#82b366,固定英雄卡牌碎片
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,固定英雄卡牌碎片
开宝箱,开宝箱,rectangle,#82b366,固定英雄卡牌碎片
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,"捐出卡牌碎片,卡牌碎片合成,退款后扣除,卖道具"
工会商店购买,工会商店购买,rectangle,#82b366,固定英雄卡牌碎片
卡牌碎片合成,卡牌碎片合成,rectangle,#82b366,
先知召唤活动活动赠,先知召唤活动活动赠,rectangle,#82b366,固定英雄卡牌碎片
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,固定英雄卡牌碎片
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,固定英雄卡牌碎片
