id,name,shape,fill,refs
卡牌合成某星卡牌(有领取次数限制)活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,rectangle,#82b366,恶魔之魂， 升级符文用
虚空击杀奖励,虚空击杀奖励,rectangle,#82b366,恶魔之魂， 升级符文用
vip礼包,vip礼包,rectangle,#82b366,恶魔之魂， 升级符文用
虚空普通战斗奖励,虚空普通战斗奖励,rectangle,#82b366,恶魔之魂， 升级符文用
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,"符文解锁,符文升级"
使用高级转盘,使用高级转盘,rectangle,#82b366,恶魔之魂， 升级符文用
天马完成任务,天马完成任务,rectangle,#82b366,恶魔之魂， 升级符文用
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,恶魔之魂， 升级符文用
远征商店购买,远征商店购买,rectangle,#82b366,恶魔之魂， 升级符文用
挂机,挂机,rectangle,#82b366,恶魔之魂， 升级符文用
竞技场结束奖励,竞技场结束奖励,rectangle,#82b366,恶魔之魂， 升级符文用
符文重置,符文重置,rectangle,#82b366,恶魔之魂， 升级符文用
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,恶魔之魂， 升级符文用
每日任务领奖,每日任务领奖,rectangle,#82b366,恶魔之魂， 升级符文用
符文解锁,符文解锁,rectangle,#82b366,
符文升级,符文升级,rectangle,#82b366,恶魔之魂， 升级符文用
地牢关卡掉落,地牢关卡掉落,rectangle,#82b366,恶魔之魂， 升级符文用
