id,name,shape,fill,refs
FRIEND_MAZE_BOX,FRIEND_MAZE_BOX,rectangle,#82b366,抽卡卷轴
酒馆获得,酒馆获得,rectangle,#82b366,抽卡卷轴
退款后扣除,退款后扣除,rectangle,#82b366,
地牢买商人,地牢买商人,rectangle,#82b366,抽卡卷轴
符文升级,符文升级,rectangle,#82b366,抽卡卷轴
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,抽卡卷轴
REDEMPTION_CODE,REDEMPTION_CODE,rectangle,#82b366,抽卡卷轴
vip礼包,vip礼包,rectangle,#82b366,抽卡卷轴
pve过关,pve过关,rectangle,#82b366,抽卡卷轴
等级限时礼包,等级限时礼包,rectangle,#82b366,抽卡卷轴
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,抽卡卷轴
使用高级转盘,使用高级转盘,rectangle,#82b366,抽卡卷轴
水晶抽次数活动赠,水晶抽次数活动赠,rectangle,#82b366,抽卡卷轴
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,抽卡卷轴
高级抽卡,高级抽卡,rectangle,#82b366,
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,抽卡卷轴
登陆有奖(活动期间登录拿东西)活动赠,登陆有奖(活动期间登录拿东西)活动赠,rectangle,#82b366,抽卡卷轴
瓦尔哈拉之邀活动赠,瓦尔哈拉之邀活动赠,rectangle,#82b366,抽卡卷轴
天马完成任务,天马完成任务,rectangle,#82b366,抽卡卷轴
节日礼包,节日礼包,rectangle,#82b366,抽卡卷轴
抽卡卷轴,抽卡卷轴,ellipse,#b85450,"高级抽卡,低级抽卡,退款后扣除"
跨服pvp排行榜奖励,跨服pvp排行榜奖励,rectangle,#82b366,抽卡卷轴
酒馆活动活动赠,酒馆活动活动赠,rectangle,#82b366,抽卡卷轴
签到,签到,rectangle,#82b366,抽卡卷轴
开宝箱,开宝箱,rectangle,#82b366,抽卡卷轴
训练营领奖,训练营领奖,rectangle,#82b366,抽卡卷轴
在线奖励,在线奖励,rectangle,#82b366,抽卡卷轴
低级抽卡,低级抽卡,rectangle,#82b366,
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,抽卡卷轴
特惠礼包,特惠礼包,rectangle,#82b366,抽卡卷轴
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,抽卡卷轴
