id,name,shape,fill,refs
卡牌觉醒,卡牌觉醒,rectangle,#82b366,时光之沙
升级水晶,升级水晶,rectangle,#82b366,
虚空击杀奖励,虚空击杀奖励,rectangle,#82b366,时光之沙
扫荡,扫荡,rectangle,#82b366,时光之沙
使用转盘,使用转盘,rectangle,#82b366,时光之沙
卡牌分解,卡牌分解,rectangle,#82b366,时光之沙
竞技场结束奖励,竞技场结束奖励,rectangle,#82b366,时光之沙
符文升级,符文升级,rectangle,#82b366,时光之沙
卡牌合成某星卡牌(有领取次数限制)活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,rectangle,#82b366,时光之沙
vip礼包,vip礼包,rectangle,#82b366,时光之沙
虚空普通战斗奖励,虚空普通战斗奖励,rectangle,#82b366,时光之沙
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,时光之沙
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,时光之沙
卡牌合成,卡牌合成,rectangle,#82b366,时光之沙
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,时光之沙
高星置换-8星,高星置换-8星,rectangle,#82b366,时光之沙
高星置换-7星,高星置换-7星,rectangle,#82b366,时光之沙
竞技场排名奖励,竞技场排名奖励,rectangle,#82b366,时光之沙
天马完成任务,天马完成任务,rectangle,#82b366,时光之沙
公会挖矿,公会挖矿,rectangle,#82b366,时光之沙
远征商店购买,远征商店购买,rectangle,#82b366,时光之沙
挂机,挂机,rectangle,#82b366,时光之沙
转换水晶,转换水晶,rectangle,#82b366,
卡牌赋能,卡牌赋能,rectangle,#82b366,时光之沙
时光之沙,时光之沙,ellipse,#b85450,"转换水晶,升级水晶"
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,时光之沙
