id,name,shape,fill,refs
卡牌合成某星卡牌(有领取次数限制)活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,rectangle,#82b366,混沌石， 符文商店用
虚空击杀奖励,虚空击杀奖励,rectangle,#82b366,混沌石， 符文商店用
vip礼包,vip礼包,rectangle,#82b366,混沌石， 符文商店用
虚空普通战斗奖励,虚空普通战斗奖励,rectangle,#82b366,混沌石， 符文商店用
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,"xx商店购买,符文升级"
天马完成任务,天马完成任务,rectangle,#82b366,混沌石， 符文商店用
xx商店购买,xx商店购买,rectangle,#82b366,
符文分解,符文分解,rectangle,#82b366,混沌石， 符文商店用
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,混沌石， 符文商店用
远征商店购买,远征商店购买,rectangle,#82b366,混沌石， 符文商店用
挂机,挂机,rectangle,#82b366,混沌石， 符文商店用
特惠礼包,特惠礼包,rectangle,#82b366,混沌石， 符文商店用
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,混沌石， 符文商店用
每日任务领奖,每日任务领奖,rectangle,#82b366,混沌石， 符文商店用
符文升级,符文升级,rectangle,#82b366,混沌石， 符文商店用
地牢关卡掉落,地牢关卡掉落,rectangle,#82b366,混沌石， 符文商店用
