id,name,shape,fill,refs
酒馆获得,酒馆获得,rectangle,#82b366,神器碎片
神器碎片,神器碎片,ellipse,#b85450,神器合成
虚空击杀奖励,虚空击杀奖励,rectangle,#82b366,神器碎片
开宝箱,开宝箱,rectangle,#82b366,神器碎片
神器合成,神器合成,rectangle,#82b366,
工会商店购买,工会商店购买,rectangle,#82b366,神器碎片
使用高级转盘,使用高级转盘,rectangle,#82b366,神器碎片
竞技场获胜活动赠,竞技场获胜活动赠,rectangle,#82b366,神器碎片
巨龙之岛击杀boss获得,巨龙之岛击杀boss获得,rectangle,#82b366,神器碎片
天马完成任务,天马完成任务,rectangle,#82b366,神器碎片
挂机,挂机,rectangle,#82b366,神器碎片
虚空排行奖励,虚空排行奖励,rectangle,#82b366,神器碎片
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,神器碎片
FRIEND_MAZE_FIGHT,FRIEND_MAZE_FIGHT,rectangle,#82b366,神器碎片
地牢关卡掉落,地牢关卡掉落,rectangle,#82b366,神器碎片
