id,name,shape,fill,refs
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
卡牌合成某星卡牌(有领取次数限制)活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
开宝箱,开宝箱,rectangle,#82b366,神圣纹章(辉煌商店货币)
转盘次数活动赠,转盘次数活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,神圣商店购买
神圣商店购买,神圣商店购买,rectangle,#82b366,
水晶抽次数活动赠,水晶抽次数活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
竞技场获胜活动赠,竞技场获胜活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
节日礼包,节日礼包,rectangle,#82b366,神圣纹章(辉煌商店货币)
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
虚空排行奖励,虚空排行奖励,rectangle,#82b366,神圣纹章(辉煌商店货币)
先知召唤活动活动赠,先知召唤活动活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,神圣纹章(辉煌商店货币)
酒馆活动活动赠,酒馆活动活动赠,rectangle,#82b366,神圣纹章(辉煌商店货币)
