id,name,shape,fill,refs
装备,装备,ellipse,#b85450,"装备附魔,神器升级,装备合成,卖道具"
使用转盘,使用转盘,rectangle,#82b366,装备
装备附魔,装备附魔,rectangle,#82b366,装备
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,装备
pve过关,pve过关,rectangle,#82b366,装备
装备合成,装备合成,rectangle,#82b366,装备
vip礼包,vip礼包,rectangle,#82b366,装备
转盘商店购买,转盘商店购买,rectangle,#82b366,装备
英雄委托活动赠,英雄委托活动赠,rectangle,#82b366,装备
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,装备
卖道具,卖道具,rectangle,#82b366,
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,装备
FRIEND_MAZE_FIGHT,FRIEND_MAZE_FIGHT,rectangle,#82b366,装备
瓦尔哈拉之邀活动赠,瓦尔哈拉之邀活动赠,rectangle,#82b366,装备
首冲送礼包,首冲送礼包,rectangle,#82b366,装备
挂机,挂机,rectangle,#82b366,装备
成就领奖,成就领奖,rectangle,#82b366,装备
爬塔战斗,爬塔战斗,rectangle,#82b366,装备
神器升级,神器升级,rectangle,#82b366,装备
抽到特定英雄活动赠,抽到特定英雄活动赠,rectangle,#82b366,装备
签到,签到,rectangle,#82b366,装备
训练营领奖,训练营领奖,rectangle,#82b366,装备
在线奖励,在线奖励,rectangle,#82b366,装备
工会商店购买,工会商店购买,rectangle,#82b366,装备
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,装备
神器合成,神器合成,rectangle,#82b366,装备
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,装备
地牢关卡掉落,地牢关卡掉落,rectangle,#82b366,装备
