id,name,shape,fill,refs
登陆有奖(活动期间登录拿东西)活动赠,登陆有奖(活动期间登录拿东西)活动赠,rectangle,#82b366,许愿币
酒馆获得,酒馆获得,rectangle,#82b366,许愿币
月卡邮件,月卡邮件,rectangle,#82b366,许愿币
买转盘硬币,买转盘硬币,rectangle,#82b366,许愿币
等级限时礼包,等级限时礼包,rectangle,#82b366,许愿币
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,许愿币
使用转盘,使用转盘,rectangle,#82b366,
许愿币,许愿币,ellipse,#b85450,"退款后扣除,使用转盘"
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,许愿币
登陆有奖(活动期间，注册时间在7天以内的玩家登录拿东西)活动赠,登陆有奖(活动期间，注册时间在7天以内的玩家登录拿东西)活动赠,rectangle,#82b366,许愿币
退款后扣除,退款后扣除,rectangle,#82b366,
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,许愿币
特惠礼包,特惠礼包,rectangle,#82b366,许愿币
每日任务领奖,每日任务领奖,rectangle,#82b366,许愿币
地牢买商人,地牢买商人,rectangle,#82b366,许愿币
battle pass积分兑换拿奖,battle pass积分兑换拿奖,rectangle,#82b366,许愿币
