id,name,shape,fill,refs
成就系统,成就系统,rectangle,#82b366,钻石
竞技场,竞技场,rectangle,#82b366,钻石
龙岛,龙岛,rectangle,#82b366,钻石
工会,工会,rectangle,#82b366,钻石
活跃活动,活跃活动,rectangle,#82b366,钻石
远征,远征,rectangle,#82b366,钻石
封印之地,封印之地,rectangle,#82b366,
个人信息,个人信息,rectangle,#82b366,
新手养成,新手养成,rectangle,#82b366,钻石
好友,好友,rectangle,#82b366,钻石
酒馆,酒馆,rectangle,#82b366,钻石
钻石,钻石,ellipse,#b85450,"抽卡,装备系统,工会,封印之地,地牢,其他养成,远征,个人信息,基础商店,酒馆,运营处理,背包系统,爬塔,竞技场,转盘,龙岛"
背包系统,背包系统,rectangle,#82b366,
转盘,转盘,rectangle,#82b366,
抽卡,抽卡,rectangle,#82b366,
装备系统,装备系统,rectangle,#82b366,
地牢,地牢,rectangle,#82b366,钻石
基础商店,基础商店,rectangle,#82b366,
运营处理,运营处理,rectangle,#82b366,钻石
爬塔,爬塔,rectangle,#82b366,钻石
其他养成,其他养成,rectangle,#82b366,
