id,name,shape,fill,refs
酒馆获得,酒馆获得,rectangle,#82b366,随机英雄碎片
扫荡,扫荡,rectangle,#82b366,随机英雄碎片
使用转盘,使用转盘,rectangle,#82b366,随机英雄碎片
地牢买商人,地牢买商人,rectangle,#82b366,随机英雄碎片
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,随机英雄碎片
符文升级,符文升级,rectangle,#82b366,随机英雄碎片
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,随机英雄碎片
pve过关,pve过关,rectangle,#82b366,随机英雄碎片
vip礼包,vip礼包,rectangle,#82b366,随机英雄碎片
先知召唤-人类,先知召唤-人类,rectangle,#82b366,随机英雄碎片
捐出卡牌碎片,捐出卡牌碎片,rectangle,#82b366,
获得捐出的卡牌碎片,获得捐出的卡牌碎片,rectangle,#82b366,随机英雄碎片
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,随机英雄碎片
公会礼包打开,公会礼包打开,rectangle,#82b366,随机英雄碎片
指定英雄升星活动赠,指定英雄升星活动赠,rectangle,#82b366,随机英雄碎片
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,随机英雄碎片
使用高级转盘,使用高级转盘,rectangle,#82b366,随机英雄碎片
随机英雄碎片,随机英雄碎片,ellipse,#b85450,"捐出卡牌碎片,卡牌碎片合成"
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,随机英雄碎片
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,随机英雄碎片
FRIEND_MAZE_SEARCH,FRIEND_MAZE_SEARCH,rectangle,#82b366,随机英雄碎片
月卡邮件,月卡邮件,rectangle,#82b366,随机英雄碎片
活动副本战斗,活动副本战斗,rectangle,#82b366,随机英雄碎片
竞技场商店购买,竞技场商店购买,rectangle,#82b366,随机英雄碎片
天马完成任务,天马完成任务,rectangle,#82b366,随机英雄碎片
公会挖矿,公会挖矿,rectangle,#82b366,随机英雄碎片
远征商店购买,远征商店购买,rectangle,#82b366,随机英雄碎片
挂机,挂机,rectangle,#82b366,随机英雄碎片
封印战斗,封印战斗,rectangle,#82b366,随机英雄碎片
酒馆活动活动赠,酒馆活动活动赠,rectangle,#82b366,随机英雄碎片
爬塔战斗,爬塔战斗,rectangle,#82b366,随机英雄碎片
签到,签到,rectangle,#82b366,随机英雄碎片
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,随机英雄碎片
训练营领奖,训练营领奖,rectangle,#82b366,随机英雄碎片
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,随机英雄碎片
工会商店购买,工会商店购买,rectangle,#82b366,随机英雄碎片
竞技场获胜活动赠,竞技场获胜活动赠,rectangle,#82b366,随机英雄碎片
封印扫荡,封印扫荡,rectangle,#82b366,随机英雄碎片
封印之地商店购买,封印之地商店购买,rectangle,#82b366,随机英雄碎片
卡牌碎片合成,卡牌碎片合成,rectangle,#82b366,
先知召唤活动活动赠,先知召唤活动活动赠,rectangle,#82b366,随机英雄碎片
藏宝图2活动赠,藏宝图2活动赠,rectangle,#82b366,随机英雄碎片
地牢关卡掉落,地牢关卡掉落,rectangle,#82b366,随机英雄碎片
