id,name,shape,fill,refs
时光之沙,时光之沙,ellipse,#b85450,
公会币,公会币,ellipse,#b85450,
礼包,礼包,rectangle,#82b366,vip礼包
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
金币,金币,ellipse,#b85450,
vip礼包,vip礼包,rectangle,#82b366,"时光之沙,公会币,恶魔之魂， 升级符文用,高级许愿币,卡牌升级石头,固定英雄卡牌碎片,随机英雄碎片,金币,抽卡卷轴,装备,混沌石， 符文商店用,先知宝珠，先知门,钻石,卡牌进阶石头"
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
装备,装备,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
