id,name,shape,fill,refs
竞技场门票,竞技场门票,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,新的黑市商店购买
高级许愿币,高级许愿币,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
基础商店,基础商店,rectangle,#82b366,新的黑市商店购买
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
金币,金币,ellipse,#b85450,新的黑市商店购买
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
新的黑市商店购买,新的黑市商店购买,rectangle,#82b366,"竞技场门票,时光之沙,高级许愿币,卡牌升级石头,许愿币,随机英雄碎片,先知祝福，英雄置换,抽卡卷轴,先知宝珠，先知门,固定英雄卡牌碎片,卡牌进阶石头"
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
