id,name,shape,fill,refs
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
金币,金币,ellipse,#b85450,
指定皮肤碎片(指定的skin id),指定皮肤碎片(指定的skin id),ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
装备,装备,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
周活动,周活动,rectangle,#82b366,旅行大富翁活动赠
进背包的宝箱,进背包的宝箱,ellipse,#b85450,
骰子 dice,骰子 dice,ellipse,#b85450,旅行大富翁活动赠
时光之沙,时光之沙,ellipse,#b85450,
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
旅行大富翁活动赠,旅行大富翁活动赠,rectangle,#82b366,"时光之沙,恶魔之魂， 升级符文用,神圣纹章(辉煌商店货币),卡牌升级石头,许愿币,固定英雄卡牌碎片,随机英雄碎片,进背包的宝箱,金币,抽卡卷轴,指定皮肤碎片(指定的skin id),装备,混沌石， 符文商店用,先知宝珠，先知门,钻石,卡牌进阶石头"
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
