id,name,shape,fill,refs
高级置换材料 荷鲁斯之眼,高级置换材料 荷鲁斯之眼,ellipse,#b85450,
周活动,周活动,rectangle,#82b366,符文升级
时光之沙,时光之沙,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,符文升级
装备附魔书,装备附魔书,ellipse,#b85450,
符文升级,符文升级,rectangle,#82b366,"高级置换材料 荷鲁斯之眼,时光之沙,恶魔之魂， 升级符文用,装备附魔书,卡牌升级石头,随机英雄碎片,金币,RUNE,抽卡卷轴,混沌石， 符文商店用,先知宝珠，先知门,钻石,卡牌进阶石头"
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
金币,金币,ellipse,#b85450,符文升级
RUNE,RUNE,ellipse,#b85450,符文升级
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,符文升级
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
