id,name,shape,fill,refs
公会币,公会币,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
lemon_tea,lemon_tea,ellipse,#b85450,顺序兑换活动活动赠
金币,金币,ellipse,#b85450,
指定皮肤碎片(指定的skin id),指定皮肤碎片(指定的skin id),ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
装备,装备,ellipse,#b85450,
顺序兑换活动活动赠,顺序兑换活动活动赠,rectangle,#82b366,"随机皮肤碎片,时光之沙,公会币,恶魔之魂， 升级符文用,高级许愿币,卡牌升级石头,神圣纹章(辉煌商店货币),随机英雄碎片,金币,骰子 dice,抽卡卷轴,指定皮肤碎片(指定的skin id),paddle2,装备,混沌石， 符文商店用,卡牌,先知宝珠，先知门,固定英雄卡牌碎片"
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
周活动,周活动,rectangle,#82b366,顺序兑换活动活动赠
随机皮肤碎片,随机皮肤碎片,ellipse,#b85450,
灵魂石,灵魂石,ellipse,#b85450,顺序兑换活动活动赠
骰子 dice,骰子 dice,ellipse,#b85450,
paddle2,paddle2,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
卡牌,卡牌,ellipse,#b85450,
stopwatch,stopwatch,ellipse,#b85450,顺序兑换活动活动赠
高级许愿币,高级许愿币,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,顺序兑换活动活动赠
