id,name,shape,fill,refs
高级置换材料 荷鲁斯之眼,高级置换材料 荷鲁斯之眼,ellipse,#b85450,"高星置换-8星,高星置换-7星"
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
先知召唤-天灾,先知召唤-天灾,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知置换-暗夜,先知置换-暗夜,rectangle,#82b366,卡牌
先知召唤-人类,先知召唤-人类,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,"先知置换-暗夜,先知置换-天灾,先知置换-人类,先知置换-恶魔"
高星置换-8星,高星置换-8星,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
高星置换-7星,高星置换-7星,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,卡牌,时光之沙,金币"
先知置换-人类,先知置换-人类,rectangle,#82b366,卡牌
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,"先知召唤-恶魔,先知召唤-暗夜,先知召唤-人类,先知召唤-天灾,先知召唤-光暗"
先知置换-天灾,先知置换-天灾,rectangle,#82b366,卡牌
先知置换-恶魔,先知置换-恶魔,rectangle,#82b366,卡牌
金币,金币,ellipse,#b85450,
先知之树,先知之树,rhombus,#dae8fc,"高星置换-8星,先知置换-暗夜,高星置换-7星,先知置换-人类,先知召唤-恶魔,先知召唤-暗夜,先知召唤-人类,先知置换-天灾,先知置换-恶魔,先知召唤-天灾,先知召唤-光暗"
卡牌,卡牌,ellipse,#b85450,"高星置换-8星,先知置换-暗夜,高星置换-7星,先知置换-人类,先知置换-天灾,先知置换-恶魔"
先知召唤-恶魔,先知召唤-恶魔,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
先知召唤-暗夜,先知召唤-暗夜,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
先知召唤-光暗,先知召唤-光暗,rectangle,#82b366,"随机英雄碎片,先知祝福，英雄置换,固定英雄卡牌碎片"
