id,name,shape,fill,refs
stopwatch,stopwatch,ellipse,#b85450,顺序兑换活动活动赠
阵营先知进度活动活动赠,阵营先知进度活动活动赠,rectangle,#82b366,进背包的宝箱
虚空击杀奖励,虚空击杀奖励,rectangle,#82b366,"卡牌升级石头,神器碎片,混沌石， 符文商店用,恶魔之魂， 升级符文用,时光之沙,金币"
高级置换材料 荷鲁斯之眼,高级置换材料 荷鲁斯之眼,ellipse,#b85450,
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
进背包的宝箱,进背包的宝箱,ellipse,#b85450,开宝箱
周活动,周活动,rhombus,#dae8fc,"阵营先知进度活动活动赠,虚空击杀奖励,虚空排行奖励,符文升级,高级转盘活动活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,回收旅行骰子,水晶抽次数活动赠,英雄委托活动赠,旅行大富翁活动赠,买活动副本,卖道具,顺序兑换活动活动赠,虚空购买石头,登陆有奖(活动期间登录拿东西)活动赠,瓦尔哈拉之邀活动赠,转盘次数活动赠,抽到特定英雄活动赠,开宝箱,登陆有奖(活动期间，注册时间在7天以内的玩家登录拿东西)活动赠,先知召唤活动活动赠,藏宝图2活动赠"
装备,装备,ellipse,#b85450,卖道具
虚空石,虚空石,ellipse,#b85450,卖道具
虚空排行奖励,虚空排行奖励,rectangle,#82b366,"神器碎片,神圣纹章(辉煌商店货币),先知宝珠，先知门,钻石,装备附魔书"
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
指定皮肤碎片(指定的skin id),指定皮肤碎片(指定的skin id),ellipse,#b85450,
符文升级,符文升级,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,RUNE,高级置换材料 荷鲁斯之眼,混沌石， 符文商店用,随机英雄碎片,先知宝珠，先知门,恶魔之魂， 升级符文用,时光之沙,钻石,抽卡卷轴,金币,装备附魔书"
高级转盘活动活动赠,高级转盘活动活动赠,rectangle,#82b366,"龙纹币,神圣纹章(辉煌商店货币),固定英雄卡牌碎片,随机英雄碎片,装备,抽卡卷轴"
卡牌合成某星卡牌(有领取次数限制)活动赠,卡牌合成某星卡牌(有领取次数限制)活动赠,rectangle,#82b366,"神圣纹章(辉煌商店货币),混沌石， 符文商店用,恶魔之魂， 升级符文用,时光之沙,钻石,金币"
神器碎片,神器碎片,ellipse,#b85450,
回收旅行骰子,回收旅行骰子,rectangle,#82b366,钻石
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,符文升级
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
水晶抽次数活动赠,水晶抽次数活动赠,rectangle,#82b366,"高级置换材料 荷鲁斯之眼,神圣纹章(辉煌商店货币),固定英雄卡牌碎片,先知宝珠，先知门,lemon_tea,抽卡卷轴,paddle2"
