id,name,shape,fill,refs
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
竞技场门票,竞技场门票,ellipse,#b85450,
装备,装备,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,地牢
地牢,地牢,rectangle,#82b366,"混沌石， 符文商店用,随机英雄碎片,许愿币,卡牌升级石头,竞技场门票,装备,钻石,神器碎片,LOSTCITY_RECOVERY,LOSTCITY_COIN,先知宝珠，先知门,高级许愿币,抽卡卷轴,卡牌进阶石头,金币,恶魔之魂， 升级符文用"
神器碎片,神器碎片,ellipse,#b85450,
LOSTCITY_RECOVERY,LOSTCITY_RECOVERY,ellipse,#b85450,
LOSTCITY_COIN,LOSTCITY_COIN,ellipse,#b85450,地牢
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
金币,金币,ellipse,#b85450,地牢
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
