id,name,shape,fill,refs
FRIEND_MAZE_BOX,FRIEND_MAZE_BOX,rectangle,#82b366,"抽卡卷轴,钻石"
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
神器碎片,神器碎片,ellipse,#b85450,
爱心,爱心,ellipse,#b85450,
好友boss体力，新的3,好友boss体力，新的3,ellipse,#b85450,"FRIEND_MAZE_FIGHT,FRIEND_MAZE_SEARCH"
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
装备,装备,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
好友送心,好友送心,rectangle,#82b366,爱心
好友,好友,rhombus,#dae8fc,"FRIEND_MAZE_BOX,好友送心,FRIEND_MAZE_SEARCH,FRIEND_MAZE_FIGHT"
金币,金币,ellipse,#b85450,
FRIEND_MAZE_FIGHT,FRIEND_MAZE_FIGHT,rectangle,#82b366,"钻石,神器碎片,装备"
FRIEND_MAZE_SEARCH,FRIEND_MAZE_SEARCH,rectangle,#82b366,"金币,随机英雄碎片,卡牌升级石头,好友boss体力，新的3"
