id,name,shape,fill,refs
封印之地,封印之地,rhombus,#dae8fc,"购买封印扫荡次数,封印之地商店购买,购买封印战斗次数,封印扫荡,封印战斗"
封印之地战斗次数,封印之地战斗次数,ellipse,#b85450,封印战斗
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
购买封印扫荡次数,购买封印扫荡次数,rectangle,#82b366,封印之地扫荡次数
封印之地商店购买,封印之地商店购买,rectangle,#82b366,随机英雄碎片
购买封印战斗次数,购买封印战斗次数,rectangle,#82b366,封印之地战斗次数
封印扫荡,封印扫荡,rectangle,#82b366,"封印之地四色结晶,封印之地光暗结晶,随机英雄碎片"
钻石,钻石,ellipse,#b85450,"购买封印战斗次数,购买封印扫荡次数"
封印之地光暗结晶,封印之地光暗结晶,ellipse,#b85450,封印之地商店购买
封印之地四色结晶,封印之地四色结晶,ellipse,#b85450,封印之地商店购买
封印战斗,封印战斗,rectangle,#82b366,"封印之地四色结晶,封印之地光暗结晶,封印之地扫荡次数,随机英雄碎片"
封印之地扫荡次数,封印之地扫荡次数,ellipse,#b85450,封印扫荡
