id,name,shape,fill,refs
stopwatch,stopwatch,ellipse,#b85450,
公会捐献,公会捐献,rectangle,#82b366,公会币
装备,装备,ellipse,#b85450,
公会boss击杀奖励,公会boss击杀奖励,rectangle,#82b366,"金币,公会币"
工会战普通排名,工会战普通排名,rectangle,#82b366,"金币,公会币"
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
工会商店刷新,工会商店刷新,rectangle,#82b366,
神器碎片,神器碎片,ellipse,#b85450,
公会改名,公会改名,rectangle,#82b366,
捐出卡牌碎片,捐出卡牌碎片,rectangle,#82b366,
获得捐出的卡牌碎片,获得捐出的卡牌碎片,rectangle,#82b366,"随机英雄碎片,固定英雄卡牌碎片"
公会礼包打开,公会礼包打开,rectangle,#82b366,"卡牌升级石头,stopwatch,公会币,随机英雄碎片,钻石,金币"
随机英雄碎片,随机英雄碎片,ellipse,#b85450,捐出卡牌碎片
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
公会币,公会币,ellipse,#b85450,"工会商店购买,工会商店刷新,解锁升级公会科技"
购买公会boss复活,购买公会boss复活,rectangle,#82b366,
公会挖矿,公会挖矿,rectangle,#82b366,"卡牌升级石头,卡牌进阶石头,公会币,随机英雄碎片,时光之沙,金币"
升级许愿树,升级许愿树,rectangle,#82b366,公会币
创建公会,创建公会,rectangle,#82b366,
升级公会订单,升级公会订单,rectangle,#82b366,
金币,金币,ellipse,#b85450,"公会捐献,升级许愿树,解锁升级公会科技"
重置公会科技,重置公会科技,rectangle,#82b366,"金币,公会币"
捐出卡牌碎片获得奖励,捐出卡牌碎片获得奖励,rectangle,#82b366,"金币,公会币"
解锁升级公会科技,解锁升级公会科技,rectangle,#82b366,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,捐出卡牌碎片
公会boss排名奖励,公会boss排名奖励,rectangle,#82b366,"金币,公会币"
公会签到,公会签到,rectangle,#82b366,公会币
工会,工会,rhombus,#dae8fc,"公会捐献,公会boss击杀奖励,工会战普通排名,工会商店刷新,公会改名,捐出卡牌碎片,获得捐出的卡牌碎片,公会礼包打开,购买公会boss复活,公会挖矿,升级许愿树,创建公会,升级公会订单,重置公会科技,捐出卡牌碎片获得奖励,解锁升级公会科技,公会boss排名奖励,公会签到,工会商店购买,公会boss战斗"
工会商店购买,工会商店购买,rectangle,#82b366,"神器碎片,随机英雄碎片,装备,固定英雄卡牌碎片"
时光之沙,时光之沙,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,"公会改名,公会捐献,购买公会boss复活,升级许愿树,创建公会,升级公会订单,重置公会科技"
公会boss战斗,公会boss战斗,rectangle,#82b366,"金币,公会币"
