id,name,shape,fill,refs
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
装备,装备,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
玩家经验,玩家经验,ellipse,#b85450,
stopwatch,stopwatch,ellipse,#b85450,
神器碎片,神器碎片,ellipse,#b85450,
征战大厅,征战大厅,rectangle,#82b366,"混沌石， 符文商店用,随机英雄碎片,卡牌升级石头,装备,时光之沙,玩家经验,stopwatch,神器碎片,虚空石,固定英雄卡牌碎片,酒馆卷轴,抽卡卷轴,卡牌进阶石头,金币,egg_tart,恶魔之魂， 升级符文用,lemon_tea"
虚空石,虚空石,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
酒馆卷轴,酒馆卷轴,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
金币,金币,ellipse,#b85450,
egg_tart,egg_tart,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
lemon_tea,lemon_tea,ellipse,#b85450,
