id,name,shape,fill,refs
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
训练营领奖,训练营领奖,rectangle,#82b366,"卡牌升级石头,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,装备,抽卡卷轴,钻石,高级许愿币,先知祝福，英雄置换,金币"
在线奖励,在线奖励,rectangle,#82b366,"卡牌升级石头,固定英雄卡牌碎片,先知宝珠，先知门,装备,抽卡卷轴,钻石,金币"
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
新手养成,新手养成,rhombus,#dae8fc,"在线奖励,等级基金的邮件,训练营领奖"
装备,装备,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,
等级基金的邮件,等级基金的邮件,rectangle,#82b366,钻石
金币,金币,ellipse,#b85450,
