id,name,shape,fill,refs
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
签到宝箱,签到宝箱,rectangle,#82b366,钻石
签到,签到,rectangle,#82b366,"固定英雄卡牌碎片,随机英雄碎片,装备,抽卡卷轴,钻石"
REDEMPTION_CODE,REDEMPTION_CODE,rectangle,#82b366,"抽卡卷轴,钻石"
竞技场门票,竞技场门票,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
装备,装备,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
活跃活动,活跃活动,rhombus,#dae8fc,"签到,每日任务领奖,签到宝箱,REDEMPTION_CODE"
金币,金币,ellipse,#b85450,
每日任务领奖,每日任务领奖,rectangle,#82b366,"卡牌升级石头,竞技场门票,混沌石， 符文商店用,恶魔之魂， 升级符文用,许愿币,钻石,金币"
