id,name,shape,fill,refs
爬塔战斗,爬塔战斗,rectangle,#82b366,"卡牌进阶石头,固定英雄卡牌碎片,随机英雄碎片,先知宝珠，先知门,装备,高级许愿币,金币"
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
扫荡,扫荡,rectangle,#82b366,"卡牌进阶石头,随机英雄碎片,时光之沙,钻石,金币"
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
爬塔,爬塔,rhombus,#dae8fc,"爬塔战斗,买爬塔体力,扫荡"
装备,装备,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,买爬塔体力
高级许愿币,高级许愿币,ellipse,#b85450,
环境之塔的体力,环境之塔的体力,ellipse,#b85450,爬塔战斗
金币,金币,ellipse,#b85450,
买爬塔体力,买爬塔体力,rectangle,#82b366,环境之塔的体力
