id,name,shape,fill,refs
公会币,公会币,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
礼包,礼包,rectangle,#82b366,"公会币,恶魔之魂， 升级符文用,卡牌升级石头,milk,lemon_tea,金币,装备,抽卡卷轴,先知宝珠，先知门,固定英雄卡牌碎片,进背包的宝箱,骰子 dice,paddle2,时光之沙,虚空石,神圣纹章(辉煌商店货币),许愿币,混沌石， 符文商店用,stopwatch,卡牌进阶石头,高级许愿币,随机英雄碎片,egg_tart,钻石"
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
milk,milk,ellipse,#b85450,
lemon_tea,lemon_tea,ellipse,#b85450,
金币,金币,ellipse,#b85450,
装备,装备,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
进背包的宝箱,进背包的宝箱,ellipse,#b85450,
骰子 dice,骰子 dice,ellipse,#b85450,
paddle2,paddle2,ellipse,#b85450,
时光之沙,时光之沙,ellipse,#b85450,
虚空石,虚空石,ellipse,#b85450,
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
stopwatch,stopwatch,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
egg_tart,egg_tart,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,
