id,name,shape,fill,refs
装备附魔,装备附魔,rectangle,#82b366,装备
神器升级,神器升级,rectangle,#82b366,装备
升级水晶,升级水晶,rectangle,#82b366,卡牌水晶，本身不会通过资源类添加，纯粹为了log
神器碎片,神器碎片,ellipse,#b85450,神器合成
卡牌水晶，本身不会通过资源类添加，纯粹为了log,卡牌水晶，本身不会通过资源类添加，纯粹为了log,ellipse,#b85450,转换水晶
装备合成,装备合成,rectangle,#82b366,装备
神器合成,神器合成,rectangle,#82b366,装备
装备,装备,ellipse,#b85450,"装备附魔,神器升级,装备合成"
时光之沙,时光之沙,ellipse,#b85450,"转换水晶,升级水晶"
钻石,钻石,ellipse,#b85450,升级水晶
装备系统,装备系统,rhombus,#dae8fc,"装备附魔,神器升级,升级水晶,装备合成,神器合成,解锁水晶,转换水晶"
解锁水晶,解锁水晶,rectangle,#82b366,卡牌水晶，本身不会通过资源类添加，纯粹为了log
转换水晶,转换水晶,rectangle,#82b366,卡牌水晶，本身不会通过资源类添加，纯粹为了log
金币,金币,ellipse,#b85450,"转换水晶,装备附魔,升级水晶,装备合成"
装备附魔书,装备附魔书,ellipse,#b85450,装备附魔
