id,name,shape,fill,refs
神圣纹章(辉煌商店货币),神圣纹章(辉煌商店货币),ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,转盘
龙纹币,龙纹币,ellipse,#b85450,
卡牌升级石头,卡牌升级石头,ellipse,#b85450,
装备,装备,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,转盘
时光之沙,时光之沙,ellipse,#b85450,
转盘商场幸运币,转盘商场幸运币,ellipse,#b85450,转盘
转盘,转盘,rectangle,#82b366,"神圣纹章(辉煌商店货币),随机英雄碎片,许愿币,卡牌升级石头,装备,时光之沙,转盘商场幸运币,神器碎片,固定英雄卡牌碎片,先知宝珠，先知门,抽卡卷轴,龙纹币,卡牌进阶石头,金币,恶魔之魂， 升级符文用"
神器碎片,神器碎片,ellipse,#b85450,
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
高级许愿币,高级许愿币,ellipse,#b85450,转盘
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
卡牌进阶石头,卡牌进阶石头,ellipse,#b85450,
金币,金币,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
