id,name,shape,fill,refs
固定英雄卡牌碎片,固定英雄卡牌碎片,ellipse,#b85450,
混沌石， 符文商店用,混沌石， 符文商店用,ellipse,#b85450,
远征宝箱,远征宝箱,rectangle,#82b366,"金币,远征币"
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
恶魔之魂， 升级符文用,恶魔之魂， 升级符文用,ellipse,#b85450,
远征战斗,远征战斗,rectangle,#82b366,"金币,远征币"
3选1远征,3选1远征,rectangle,#82b366,"金币,钻石,远征币"
远征,远征,rhombus,#dae8fc,"远征宝箱,远征战斗,3选1远征,远征商店购买,远征复活"
时光之沙,时光之沙,ellipse,#b85450,
远征商店购买,远征商店购买,rectangle,#82b366,"固定英雄卡牌碎片,混沌石， 符文商店用,恶魔之魂， 升级符文用,随机英雄碎片,时光之沙"
钻石,钻石,ellipse,#b85450,远征复活
远征复活,远征复活,rectangle,#82b366,
金币,金币,ellipse,#b85450,
远征币,远征币,ellipse,#b85450,远征商店购买
