id,name,shape,fill,refs
酒馆获得,酒馆获得,rectangle,#82b366,"神器碎片,竞技场门票,随机英雄碎片,先知宝珠，先知门,许愿币,抽卡卷轴,钻石,先知祝福，英雄置换"
神器碎片,神器碎片,ellipse,#b85450,
酒馆刷新,酒馆刷新,rectangle,#82b366,
竞技场门票,竞技场门票,ellipse,#b85450,
随机英雄碎片,随机英雄碎片,ellipse,#b85450,
酒馆加速任务,酒馆加速任务,rectangle,#82b366,
酒馆,酒馆,rhombus,#dae8fc,"酒馆增加任务,酒馆获得,酒馆加速任务,酒馆刷新"
先知宝珠，先知门,先知宝珠，先知门,ellipse,#b85450,
许愿币,许愿币,ellipse,#b85450,
抽卡卷轴,抽卡卷轴,ellipse,#b85450,
钻石,钻石,ellipse,#b85450,"酒馆加速任务,酒馆刷新"
酒馆增加任务,酒馆增加任务,rectangle,#82b366,
先知祝福，英雄置换,先知祝福，英雄置换,ellipse,#b85450,
酒馆卷轴,酒馆卷轴,ellipse,#b85450,酒馆增加任务
