function,system
顺序兑换活动活动赠,周活动
竞技场结束奖励,竞技场
公会boss击杀奖励,工会
等级基金的邮件,新手养成
天马探索,龙岛
解锁升级公会科技,工会
升级公会订单,工会
酒馆活动活动赠,月活动
等级限时礼包,礼包
神器升级,装备系统
卡牌包扩容,背包系统
卡牌碎片合成,背包系统
地牢关卡掉落,地牢
买竞技场门票,竞技场
工会商店刷新,工会
转换水晶,装备系统
新的黑市商店购买,基础商店
指定英雄升星活动赠,月活动
巨龙之岛金苹果初始化,龙岛
跨服pvp排行榜奖励,竞技场
battle pass买积分,月活动
地牢买药水,地牢
购买封印战斗次数,封印之地
竞技场获胜活动赠,竞技场
3v3竞技场的3选1,竞技场
先知置换-人类,先知之树
符文升级,周活动
买转盘硬币,转盘
爱心抽卡,抽卡
先知召唤-恶魔,先知之树
公会捐献,工会
英雄分解商店购买,分解功能
xx商店购买,符文书
每日任务领奖,活跃活动
好友送心,好友
3选1远征,远征
先知召唤-天灾,先知之树
捐出卡牌碎片获得奖励,工会
低级抽卡,抽卡
高星置换-7星,先知之树
公会boss排名奖励,工会
瓦尔哈拉之邀活动赠,周活动
巨龙之岛建筑产出,龙岛
钻石礼包,竞技场
扫荡,爬塔
点金手,其他养成
能量抽卡,抽卡
封印扫荡,封印之地
获得捐出的卡牌碎片,工会
装备附魔,装备系统
虚空普通战斗奖励,月活动
巨龙之岛刷新boss,龙岛
先知召唤-人类,先知之树
地牢买商人,地牢
节日礼包,礼包
巨龙之岛重置建筑,龙岛
远征复活,远征
买爬塔体力,爬塔
FRIEND_MAZE_BOX,好友
巨龙之岛买苹果,龙岛
藏宝图2活动赠,周活动
重置公会科技,工会
地牢刷新职业,地牢
公会签到,工会
封印战斗,封印之地
训练营领奖,新手养成
回收旅行骰子,周活动
天马买耐久,龙岛
神圣商店购买,神圣商店
卡牌分解,分解功能
购买封印扫荡次数,封印之地
先知置换-天灾,先知之树
符文分解,符文书
符文解锁,符文书
天马升级任务,龙岛
退款后扣除,运营处理
转盘次数活动赠,周活动
封印之地商店购买,封印之地
装备合成,装备系统
解锁水晶,装备系统
高级抽卡,抽卡
挑战赛积分赛,竞技场
公会挖矿,工会
公会礼包打开,工会
卡牌赋能,英雄系统
酒馆刷新,酒馆
转盘商店购买,转盘
虚空击杀奖励,周活动
高星置换-8星,先知之树
虚空排行奖励,周活动
REDEMPTION_CODE,活跃活动
FRIEND_MAZE_FIGHT,好友
英雄委托活动赠,周活动
vip礼包,礼包
签到宝箱,活跃活动
神器合成,装备系统
使用高级转盘,转盘
水晶抽次数活动赠,周活动
battle pass积分兑换拿奖,竞技场
公会改名,工会
爬塔战斗,爬塔
卡牌觉醒,英雄系统
酒馆加速任务,酒馆
酒馆增加任务,酒馆
购买公会boss复活,工会
先知置换-暗夜,先知之树
成就领奖,成就系统
活动副本战斗,副本系统
远征战斗,远征
挑战赛下注,竞技场
登陆有奖(活动期间，注册时间在7天以内的玩家登录拿东西)活动赠,周活动
先知置换-恶魔,先知之树
巨龙之岛升级建筑,龙岛
高级转盘活动活动赠,周活动
刷新转盘,转盘
在线奖励,新手养成
卡牌合成,英雄系统
符文重置,符文书
英雄成长限时礼包,礼包
卖道具,周活动
阵营先知进度活动活动赠,周活动
远征宝箱,远征
先知召唤-光暗,先知之树
玩家升级奖励,成就系统
升级水晶,装备系统
竞技场商店购买,竞技场
FRIEND_MAZE_SEARCH,好友
旅行大富翁活动赠,周活动
battle pass积分补偿,月活动
天马奇遇,龙岛
使用竞技场门票,竞技场
先知召唤活动活动赠,周活动
HORSE_START,龙岛
酒馆获得,酒馆
升级许愿树,工会
补偿,运营处理
关卡限时礼包,礼包
买活动副本,周活动
竞技场3v3排名奖励,竞技场
先知召唤-暗夜,先知之树
皮肤分解,分解功能
竞技场3选1,竞技场
捐出卡牌碎片,工会
巨龙之岛击杀boss获得,龙岛
换名字,个人信息
签到,活跃活动
特惠礼包,礼包
转盘商店刷新,转盘
虚空购买石头,周活动
卡牌升级,英雄系统
月卡邮件,月礼包
卡牌合成某星卡牌(有领取次数限制)活动赠,周活动
皮肤碎片合成,背包系统
公会boss战斗,工会
工会商店购买,工会
远征商店购买,远征
卡牌升阶,英雄系统
使用转盘,转盘
挂机,征战大厅
创建公会,工会
开宝箱,周活动
竞技场排名奖励,竞技场
巨龙之岛好友助战,龙岛
巨龙之岛打boss消耗,龙岛
抽到特定英雄活动赠,周活动
天马完成任务,龙岛
pve过关,征战大厅
工会战普通排名,工会
首冲送礼包,礼包
登陆有奖(活动期间登录拿东西)活动赠,周活动
