id,name,shape,fill,refs
钻石,钻石,ellipse,#b85450,"竞技场,地牢,运营处理,周活动,爬塔,远征,转盘,抽卡,装备系统,卡牌,月活动,基础商店,其他养成,龙岛,个人信息,封印之地,工会,酒馆"
周活动,周活动,rectangle,#82b366,"随机英雄碎片,许愿币,卡牌,神器碎片,骰子 dice,恶魔之魂， 升级符文用,神圣纹章(辉煌商店货币),RUNE,paddle2,卡牌进阶石头,金币,egg_tart,随机皮肤碎片,混沌石， 符文商店用,竞技场门票,装备,钻石,公会币,高级置换材料 荷鲁斯之眼,固定英雄卡牌碎片,先知宝珠，先知门,进背包的宝箱,lemon_tea,指定皮肤碎片(指定的skin id),卡牌升级石头,时光之沙,stopwatch,虚空石,抽卡卷轴,高级许愿币,装备附魔书"
工会,工会,rectangle,#82b366,"随机英雄碎片,卡牌升级石头,装备,钻石,时光之沙,公会币,stopwatch,神器碎片,固定英雄卡牌碎片,卡牌进阶石头,金币"
卡牌,卡牌,ellipse,#b85450,"分解功能,周活动,英雄系统,先知之树"
竞技场,竞技场,rectangle,#82b366,"神圣纹章(辉煌商店货币),随机英雄碎片,竞技场门票,卡牌升级石头,许愿币,装备,钻石,时光之沙,特殊头像,神器碎片,先知宝珠，先知门,抽卡卷轴,高级许愿币,卡牌进阶石头,金币,竞技场商场幸运币,恶魔之魂， 升级符文用,先知祝福，英雄置换"
基础商店,基础商店,rectangle,#82b366,"随机英雄碎片,许愿币,卡牌升级石头,竞技场门票,时光之沙,固定英雄卡牌碎片,先知宝珠，先知门,抽卡卷轴,高级许愿币,卡牌进阶石头,先知祝福，英雄置换"
月活动,月活动,rectangle,#82b366,"神圣纹章(辉煌商店货币),混沌石， 符文商店用,指定皮肤碎片(指定的skin id),随机英雄碎片,卡牌升级石头,时光之沙,先知宝珠，先知门,抽卡卷轴,高级许愿币,金币,恶魔之魂， 升级符文用,battle pass点数"
封印之地,封印之地,rectangle,#82b366,"随机英雄碎片,封印之地扫荡次数,封印之地四色结晶,封印之地光暗结晶,封印之地战斗次数"
转盘,转盘,rectangle,#82b366,"神圣纹章(辉煌商店货币),随机英雄碎片,许愿币,卡牌升级石头,装备,时光之沙,转盘商场幸运币,神器碎片,固定英雄卡牌碎片,先知宝珠，先知门,抽卡卷轴,龙纹币,卡牌进阶石头,金币,恶魔之魂， 升级符文用"
其他养成,其他养成,rectangle,#82b366,金币
龙岛,龙岛,rectangle,#82b366,"随机英雄碎片,horse searach stamina,神器碎片,卡牌,龙纹币,恶魔之魂， 升级符文用,极乐之境金羽毛,卡牌进阶石头,金币,随机皮肤碎片,混沌石， 符文商店用,钻石,极乐之境金苹果,先知宝珠，先知门,酒馆卷轴,卡牌升级石头,时光之沙,HORSE_EXP,抽卡卷轴,高级许愿币"
地牢,地牢,rectangle,#82b366,"混沌石， 符文商店用,随机英雄碎片,许愿币,卡牌升级石头,竞技场门票,装备,钻石,神器碎片,LOSTCITY_RECOVERY,LOSTCITY_COIN,先知宝珠，先知门,高级许愿币,抽卡卷轴,卡牌进阶石头,金币,恶魔之魂， 升级符文用"
远征,远征,rectangle,#82b366,"混沌石， 符文商店用,随机英雄碎片,钻石,时光之沙,远征币,固定英雄卡牌碎片,金币,恶魔之魂， 升级符文用"
爬塔,爬塔,rectangle,#82b366,"随机英雄碎片,装备,钻石,时光之沙,固定英雄卡牌碎片,先知宝珠，先知门,环境之塔的体力,高级许愿币,卡牌进阶石头,金币"
运营处理,运营处理,rectangle,#82b366,钻石
抽卡,抽卡,rectangle,#82b366,卡牌
酒馆,酒馆,rectangle,#82b366,"随机英雄碎片,许愿币,竞技场门票,钻石,神器碎片,先知宝珠，先知门,抽卡卷轴,先知祝福，英雄置换"
装备系统,装备系统,rectangle,#82b366,"卡牌水晶，本身不会通过资源类添加，纯粹为了log,装备"
个人信息,个人信息,rectangle,#82b366,
灵魂石,灵魂石,ellipse,#b85450,"分解功能,周活动"
