desc,system
金币,周活动
时光之沙,周活动
卡牌,周活动
固定英雄卡牌碎片,周活动
装备,周活动
卡牌升级石头,周活动
随机英雄碎片,周活动
先知宝珠，先知门,周活动
抽卡卷轴,周活动
公会币,周活动
恶魔之魂， 升级符文用,周活动
混沌石， 符文商店用,周活动
高级许愿币,周活动
神圣纹章(辉煌商店货币),周活动
指定皮肤碎片(指定的skin id),周活动
随机皮肤碎片,周活动
骰子 dice,周活动
paddle2,周活动
钻石,竞技场
时光之沙,竞技场
恶魔之魂， 升级符文用,竞技场
金币,工会
公会币,工会
钻石,新手养成
随机英雄碎片,月活动
先知宝珠，先知门,月活动
抽卡卷轴,月活动
高级许愿币,月活动
神圣纹章(辉煌商店货币),月活动
钻石,礼包
金币,礼包
卡牌升级石头,礼包
许愿币,礼包
先知宝珠，先知门,礼包
抽卡卷轴,礼包
装备,装备系统
卡牌,背包系统
钻石,地牢
金币,地牢
装备,地牢
卡牌升级石头,地牢
随机英雄碎片,地牢
神器碎片,地牢
恶魔之魂， 升级符文用,地牢
混沌石， 符文商店用,地牢
高级许愿币,地牢
LOSTCITY_COIN,地牢
竞技场门票,竞技场
卡牌水晶，本身不会通过资源类添加，纯粹为了log,装备系统
时光之沙,基础商店
固定英雄卡牌碎片,基础商店
卡牌升级石头,基础商店
卡牌进阶石头,基础商店
随机英雄碎片,基础商店
许愿币,基础商店
竞技场门票,基础商店
先知宝珠，先知门,基础商店
先知祝福，英雄置换,基础商店
抽卡卷轴,基础商店
高级许愿币,基础商店
指定皮肤碎片(指定的skin id),月活动
极乐之境金苹果,龙岛
金币,竞技场
抽卡卷轴,竞技场
LOSTCITY_RECOVERY,地牢
封印之地战斗次数,封印之地
随机英雄碎片,竞技场
先知宝珠，先知门,竞技场
神器碎片,竞技场
高级许愿币,竞技场
神圣纹章(辉煌商店货币),竞技场
竞技场商场幸运币,竞技场
卡牌,先知之树
钻石,周活动
卡牌进阶石头,周活动
RUNE,周活动
高级置换材料 荷鲁斯之眼,周活动
装备附魔书,周活动
许愿币,转盘
卡牌,抽卡
固定英雄卡牌碎片,先知之树
随机英雄碎片,先知之树
先知祝福，英雄置换,先知之树
固定英雄卡牌碎片,分解功能
RUNE,符文书
钻石,活跃活动
金币,活跃活动
卡牌升级石头,活跃活动
许愿币,活跃活动
竞技场门票,活跃活动
恶魔之魂， 升级符文用,活跃活动
混沌石， 符文商店用,活跃活动
爱心,好友
钻石,远征
金币,远征
远征币,远征
金币,先知之树
时光之沙,先知之树
卡牌升级石头,先知之树
卡牌进阶石头,先知之树
钻石,龙岛
金币,龙岛
龙纹币,龙岛
钻石,爬塔
金币,爬塔
时光之沙,爬塔
卡牌进阶石头,爬塔
随机英雄碎片,爬塔
金币,其他养成
随机英雄碎片,封印之地
封印之地四色结晶,封印之地
封印之地光暗结晶,封印之地
固定英雄卡牌碎片,工会
随机英雄碎片,工会
金币,月活动
时光之沙,月活动
卡牌升级石头,月活动
恶魔之魂， 升级符文用,月活动
混沌石， 符文商店用,月活动
卡牌进阶石头,地牢
许愿币,地牢
竞技场门票,地牢
先知宝珠，先知门,地牢
抽卡卷轴,地牢
神圣纹章(辉煌商店货币),礼包
进背包的宝箱,礼包
骰子 dice,礼包
paddle2,礼包
stopwatch,礼包
egg_tart,礼包
极乐之境金羽毛,龙岛
环境之塔的体力,爬塔
钻石,好友
抽卡卷轴,好友
许愿币,周活动
神器碎片,周活动
封印之地扫荡次数,封印之地
金币,新手养成
固定英雄卡牌碎片,新手养成
装备,新手养成
卡牌升级石头,新手养成
随机英雄碎片,新手养成
先知宝珠，先知门,新手养成
先知祝福，英雄置换,新手养成
抽卡卷轴,新手养成
高级许愿币,新手养成
固定英雄卡牌碎片,神圣商店
金币,分解功能
时光之沙,分解功能
卡牌升级石头,分解功能
卡牌进阶石头,分解功能
灵魂石,分解功能
混沌石， 符文商店用,符文书
时光之沙,工会
卡牌升级石头,工会
卡牌进阶石头,工会
钻石,工会
stopwatch,工会
金币,英雄系统
时光之沙,英雄系统
卡牌,英雄系统
卡牌升级石头,英雄系统
卡牌进阶石头,英雄系统
固定英雄卡牌碎片,转盘
装备,转盘
抽卡卷轴,活跃活动
装备,好友
神器碎片,好友
时光之沙,礼包
固定英雄卡牌碎片,礼包
装备,礼包
卡牌进阶石头,礼包
随机英雄碎片,礼包
公会币,礼包
恶魔之魂， 升级符文用,礼包
混沌石， 符文商店用,礼包
高级许愿币,礼包
金币,转盘
随机英雄碎片,转盘
先知宝珠，先知门,转盘
抽卡卷轴,转盘
神器碎片,转盘
恶魔之魂， 升级符文用,转盘
lemon_tea,周活动
装备,竞技场
卡牌升级石头,竞技场
许愿币,竞技场
特殊头像,竞技场
固定英雄卡牌碎片,爬塔
装备,爬塔
先知宝珠，先知门,爬塔
高级许愿币,爬塔
钻石,成就系统
金币,成就系统
固定英雄卡牌碎片,成就系统
装备,成就系统
卡牌进阶石头,成就系统
爱心,成就系统
先知祝福，英雄置换,成就系统
转盘商场幸运币,成就系统
远征币,成就系统
金币,副本系统
卡牌升级石头,副本系统
卡牌进阶石头,副本系统
随机英雄碎片,副本系统
竞技场门票,周活动
神圣纹章(辉煌商店货币),转盘
龙纹币,转盘
恶魔之魂， 升级符文用,符文书
进背包的宝箱,周活动
先知祝福，英雄置换,竞技场
金币,好友
卡牌升级石头,好友
随机英雄碎片,好友
好友boss体力，新的3,好友
battle pass点数,月活动
egg_tart,周活动
horse searach stamina,龙岛
钻石,酒馆
随机英雄碎片,酒馆
许愿币,酒馆
竞技场门票,酒馆
先知宝珠，先知门,酒馆
先知祝福，英雄置换,酒馆
抽卡卷轴,酒馆
神器碎片,酒馆
钻石,运营处理
随机皮肤碎片,分解功能
卡牌进阶石头,竞技场
神器碎片,龙岛
随机皮肤碎片,龙岛
固定英雄卡牌碎片,活跃活动
装备,活跃活动
随机英雄碎片,活跃活动
虚空石,礼包
lemon_tea,礼包
milk,礼包
虚空石,周活动
钻石,月礼包
随机英雄碎片,月礼包
许愿币,月礼包
皮肤,背包系统
装备,工会
神器碎片,工会
时光之沙,远征
固定英雄卡牌碎片,远征
随机英雄碎片,远征
恶魔之魂， 升级符文用,远征
混沌石， 符文商店用,远征
时光之沙,转盘
卡牌升级石头,转盘
卡牌进阶石头,转盘
转盘商场幸运币,转盘
金币,征战大厅
时光之沙,征战大厅
装备,征战大厅
玩家经验,征战大厅
卡牌升级石头,征战大厅
卡牌进阶石头,征战大厅
随机英雄碎片,征战大厅
酒馆卷轴,征战大厅
神器碎片,征战大厅
恶魔之魂， 升级符文用,征战大厅
混沌石， 符文商店用,征战大厅
虚空石,征战大厅
lemon_tea,征战大厅
stopwatch,征战大厅
egg_tart,征战大厅
时光之沙,龙岛
卡牌,龙岛
卡牌升级石头,龙岛
卡牌进阶石头,龙岛
随机英雄碎片,龙岛
酒馆卷轴,龙岛
先知宝珠，先知门,龙岛
抽卡卷轴,龙岛
恶魔之魂， 升级符文用,龙岛
混沌石， 符文商店用,龙岛
高级许愿币,龙岛
HORSE_EXP,龙岛
固定英雄卡牌碎片,征战大厅
抽卡卷轴,征战大厅
stopwatch,周活动
