desc,system,channel
钻石,周活动,顺序兑换活动活动赠
灵魂石,周活动,顺序兑换活动活动赠
lemon_tea,周活动,顺序兑换活动活动赠
stopwatch,周活动,顺序兑换活动活动赠
horse searach stamina,龙岛,天马探索
金币,工会,解锁升级公会科技
公会币,工会,解锁升级公会科技
钻石,工会,升级公会订单
装备,装备系统,神器升级
钻石,背包系统,卡牌包扩容
固定英雄卡牌碎片,背包系统,卡牌碎片合成
随机英雄碎片,背包系统,卡牌碎片合成
钻石,竞技场,买竞技场门票
公会币,工会,工会商店刷新
卡牌水晶，本身不会通过资源类添加，纯粹为了log,装备系统,转换水晶
金币,装备系统,转换水晶
时光之沙,装备系统,转换水晶
钻石,基础商店,新的黑市商店购买
金币,基础商店,新的黑市商店购买
钻石,月活动,battle pass买积分
LOSTCITY_COIN,地牢,地牢买药水
钻石,封印之地,购买封印战斗次数
卡牌,先知之树,先知置换-人类
先知祝福，英雄置换,先知之树,先知置换-人类
金币,周活动,符文升级
恶魔之魂， 升级符文用,周活动,符文升级
金币,周活动,符文升级
混沌石， 符文商店用,周活动,符文升级
RUNE,周活动,符文升级
钻石,转盘,买转盘硬币
爱心,抽卡,爱心抽卡
先知宝珠，先知门,先知之树,先知召唤-恶魔
钻石,工会,公会捐献
金币,工会,公会捐献
灵魂石,分解功能,英雄分解商店购买
混沌石， 符文商店用,符文书,xx商店购买
先知宝珠，先知门,先知之树,先知召唤-天灾
抽卡卷轴,抽卡,低级抽卡
卡牌,先知之树,高星置换-7星
高级置换材料 荷鲁斯之眼,先知之树,高星置换-7星
钻石,其他养成,点金手
封印之地扫荡次数,封印之地,封印扫荡
金币,装备系统,装备附魔
装备,装备系统,装备附魔
装备附魔书,装备系统,装备附魔
虚空石,月活动,虚空普通战斗奖励
钻石,龙岛,巨龙之岛刷新boss
先知宝珠，先知门,先知之树,先知召唤-人类
钻石,地牢,地牢买商人
金币,地牢,地牢买商人
钻石,远征,远征复活
钻石,爬塔,买爬塔体力
钻石,龙岛,巨龙之岛买苹果
paddle2,周活动,藏宝图2活动赠
钻石,工会,重置公会科技
钻石,地牢,地牢刷新职业
封印之地战斗次数,封印之地,封印战斗
骰子 dice,周活动,回收旅行骰子
钻石,龙岛,天马买耐久
神圣纹章(辉煌商店货币),神圣商店,神圣商店购买
卡牌,分解功能,卡牌分解
钻石,封印之地,购买封印扫荡次数
卡牌,先知之树,先知置换-天灾
先知祝福，英雄置换,先知之树,先知置换-天灾
RUNE,符文书,符文分解
恶魔之魂， 升级符文用,符文书,符文解锁
钻石,龙岛,天马升级任务
钻石,运营处理,退款后扣除
金币,运营处理,退款后扣除
固定英雄卡牌碎片,运营处理,退款后扣除
许愿币,运营处理,退款后扣除
先知宝珠，先知门,运营处理,退款后扣除
抽卡卷轴,运营处理,退款后扣除
高级许愿币,运营处理,退款后扣除
封印之地四色结晶,封印之地,封印之地商店购买
封印之地光暗结晶,封印之地,封印之地商店购买
金币,装备系统,装备合成
装备,装备系统,装备合成
钻石,抽卡,高级抽卡
抽卡卷轴,抽卡,高级抽卡
卡牌,英雄系统,卡牌赋能
卡牌进阶石头,英雄系统,卡牌赋能
钻石,酒馆,酒馆刷新
转盘商场幸运币,转盘,转盘商店购买
卡牌,先知之树,高星置换-8星
高级置换材料 荷鲁斯之眼,先知之树,高星置换-8星
好友boss体力，新的3,好友,FRIEND_MAZE_FIGHT
钻石,周活动,英雄委托活动赠
金币,周活动,英雄委托活动赠
卡牌,周活动,英雄委托活动赠
神器碎片,装备系统,神器合成
高级许愿币,转盘,使用高级转盘
钻石,工会,公会改名
环境之塔的体力,爬塔,爬塔战斗
卡牌,英雄系统,卡牌觉醒
卡牌进阶石头,英雄系统,卡牌觉醒
